key,sample_i,overall_iou,overall_instance_iou,back_iou,left_lung_iou,right_lung_iou,back_instance_iou,left_lung_inst_iou,right_lung_inst_iou,target
00000072_000,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
00000072_000,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
00000072_000,2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
00000150_002,0,0.35141077637672424,0.39999999998,1.0,1.0,0.35141077637672424,1.0,1.0,0.39999999998,5
00000150_002,1,0.30665478110313416,0.39999999998,1.0,1.0,0.38090723752975464,1.0,1.0,0.39999999998,5
00000150_002,2,0.06909910589456558,0.099999999995,0.0,1.0,0.12547126412391663,0.0,1.0,0.19999999999,3
00000181_061,0,0.35094889998435974,0.31999999999359996,0.0,0.6547818779945374,0.4181906580924988,0.0,0.699999999965,0.499999999975,4
00000181_061,1,0.23715969920158386,0.27999999999439995,0.0,0.6578870415687561,0.347788006067276,0.0,0.699999999965,0.39999999998,4
00000181_061,2,0.3818947672843933,0.3999999999866667,1.0,0.7330116629600525,0.0,1.0,0.5333333333155555,0.0,3
00000211_019,0,0.5487905740737915,0.3666666666552777,0.7535027861595154,0.18157359957695007,0.5218368172645569,0.8999999999774999,0.19999999999,0.59999999997,4
00000211_019,1,0.47975656390190125,0.3666666666552777,0.615682065486908,0.18663223087787628,0.41469237208366394,0.84999999997875,0.19999999999,0.499999999975,4
00000211_019,2,0.5789074897766113,0.4333333333197221,0.6913769245147705,0.0,0.5695870518684387,0.84999999997875,0.0,0.59999999997,2
00000211_041,0,0.3917469084262848,0.39999999998,0.0,0.38352590799331665,1.0,0.0,0.39999999998,1.0,3
00000211_041,1,0.21528540551662445,0.23333333332888886,0.0005601637531071901,0.3517759144306183,1.0,0.06666666666555555,0.2999999999933333,1.0,5
00000211_041,2,0.43487927317619324,0.499999999975,0.4156777262687683,0.5637428760528564,1.0,0.5333333333248611,0.59999999997,1.0,2
00000344_003,0,0.09248942136764526,0.07999999999839999,1.0,0.19476281106472015,0.0,1.0,0.19999999999333334,0.0,2
00000344_003,1,0.26110395789146423,0.2999999999925,1.0,0.3566910922527313,0.0,1.0,0.3999999999866667,0.0,3
00000344_003,2,0.003961300943046808,0.099999999995,1.0,0.0039651524275541306,1.0,1.0,0.099999999995,1.0,1
00000468_033,0,0.13898354768753052,0.15555555555382714,1.0,0.16832031309604645,0.0,1.0,0.27999999999439995,0.0,2
00000468_033,1,0.4574275314807892,0.499999999975,1.0,0.4574275314807892,1.0,1.0,0.499999999975,1.0,5
00000468_033,2,0.8078802824020386,0.8999999999549999,1.0,0.8078802824020386,1.0,1.0,0.8999999999549999,1.0,5
00000808_002,0,0.13246281445026398,0.12999999999715,1.0,0.039766766130924225,0.33388179540634155,1.0,0.06666666666444444,0.39999999998,2
00000808_002,1,0.16745024919509888,0.1333333333288889,1.0,0.0,0.1936948001384735,1.0,0.0,0.19999999999,3
00000808_002,2,0.3349848985671997,0.2666666666577778,1.0,0.0,0.4247893691062927,1.0,0.0,0.499999999975,3
00000830_000,0,0.13859699666500092,0.07999999999839999,1.0,0.0,0.15561462938785553,1.0,0.0,0.0999999999975,3
00000830_000,1,0.2953362762928009,0.3999999999866667,1.0,0.0,0.5076184272766113,1.0,0.0,0.59999999997,3
00000830_000,2,0.10876529663801193,0.1333333333288889,1.0,0.0,0.17853491008281708,1.0,0.0,0.19999999999,3
00000974_002,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
00000974_002,1,0.24718859791755676,0.299999999985,0.0,0.3907637596130371,1.0,0.0,0.39999999998,1.0,4
00000974_002,2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
00001075_024,0,0.4727925658226013,0.5599999999887999,1.0,0.7639698386192322,0.23669315874576569,1.0,0.79999999996,0.3999999999866667,3
00001075_024,1,0.3390979468822479,0.31999999999359996,1.0,0.6461808681488037,0.0,1.0,0.5333333333155555,0.0,2
00001075_024,2,0.3858707845211029,0.39999999999,1.0,0.7235267162322998,0.0,1.0,0.79999999996,0.0,3
00001187_006,0,0.12634380161762238,0.03333333333277778,1.0,0.26079481840133667,0.0,1.0,0.0999999999975,0.0,2
00001187_006,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
